,degree
Mühendislik ve Mimarlık Fakültesi /   Faculty of Engineering and Architecture,1
"3,5 / 4",1
International,1
"3,47 / 4",1
ICT,1
İşletme Fakültesi / Faculty of Management,1
Senior High School,1
İktisadi ve İdari Bilimler Fakültesi / Faculty of Economics and Administrative Sciences,1
Mba,1
Master's degree ( continuation ),1
Professional Coach,1
Exchange Semester,1
İntermediate ,1
"66,39/100",1
Sistem Analistiği Yandal Programı,1
Post Graduate Program,1
Integrated BS & MS Program,1
İşletme Tezsiz Yüksek Lisans Programı (MBA),1
"2,12",1
"BSc,",1
100/80,1
İngilizce Eğitim,1
4.14 / 5.00,1
Bachelor's degree / Lisans ,1
3.13 / 4,1
Formation Continue,1
Advanced English and Toefl Course,1
"3,12/4",1
Mathematics and Science,1
Web Programlama ,1
73 / 100,1
Translation and Interpreting,1
78.80,1
Honors - Fiat Full Scholarship,1
Military High School,1
M.Sc. - Master of Science,1
bilgisayar son sinif ,1
Hİgh School,1
Sayılsal Bilgiler Bölümü,1
Exchange Student for one semester,1
Lisans Derecesi  GPA : 3.36/4,1
Proje aşaması,1
Lise Diploması ,1
3.68 / 5,1
3.35 / 4,1
Tarımsal İşletme,1
Mekatronik,1
Master Degree (M.Sc ) ,1
Bilişim  Sistemleri,1
Primary Education School,1
76.21,1
4.88 / 5.00,1
"2,24 /4",1
76 / 100,1
"3,50 Honour Degree",1
Computer and Information Sciences Faculty,1
İktisadi Ve İdari Bilimler Fakültesi,1
Pazarlama Yüksek Lisans Öğrencisi,1
Lisans Derecesi- Dokuz Eylül Üniversitesi,1
Bilgisayar ve Bilişim Mühendisliği / Bilişim Teknolojileri,1
Mühendislik Fak.,1
Programming and Tecnhology of Computer,1
Sakarya MYO,1
...,1
Bilgisayar ve Bilişim Bilimleri Fakültesi Mezunu,1
Bachelor's degree (%80),1
GPA: 3.85,1
82.09/100,1
Bilgisayar Mühendisliği Fakültesi,1
Lisans Derecesi / License Degree,1
Erasmus Student for 1 Year,1
1. Runner,1
High school graduate,1
"2,02/4,00",1
"92,04",1
Başarı,1
course,1
Bilişim Sistemleri,1
3.27/4.00,1
"2,19",1
Hendek Eğitim Fakültesi,1
"3,31",1
computer si,1
Engineering Degree in Metallurgical & Materials Engineering,1
MESLEK YÜKSEK OKULU,1
Genel Lise,1
Karasu MYO,1
Undergraduate School,1
Fen Bilimleri Enstitütüsü / Tezsiz Yüksek Lisans,1
Technology faculty,1
Bilgisayar ve bilişim fakültesi,1
Full Stack Web Development,1
Bilgisayar ve Bilişim Fakultesi Mezunu,1
سنة اولى,1
Erciş Lisesi,1
Bachelor’s of Science,1
"3,99",1
Anadolu Lisesi Mezun,1
M Sc,1
Fen Edebiyat Fakültesi (terk),1
Fen bilimleri Ens.,1
"Bachelor and Master of Science-MS,Chemistry(German)",1
B Sc,1
"Master of Science - MS,Computer Engineering",1
Bilgisayar Bilimleri ve Bilişim Fakültesi,1
Bilgi Yönetimi,1
Exchange (Erasmus) Term,1
sıralama 27200,1
BİLGİSAYAR VE BİLİŞİM BİLİMLERİ FAKÜLTESİ,1
Master of Business Engineering,1
"PhD, Department of Computer Engineering",1
Top Graduate Degree of Department,1
National diploma,1
Preparatory Institute to the Engineering studies of Nabeul (Tunisia),1
izmit lisesi,1
Fen Bilimleri Fakültesi - Yüksek Lisans (Tezli),1
PhD Candidate ,1
"3,92",1
Bachelor's degree (Second Rank) High Honor Student,1
Sakarya Bilgisayar ve Bilişim Bilimleri Fakültesi,1
Computer and Information Technologies Grade,1
Geyve MYO,1
Anadolu Teknik Lise Mezunu,1
Bachelor of Public Administration,1
elektronik haberleşme,1
İlköğretim Mezunu,1
BC,1
3.12/4,1
"BS, Industrial Engineering",1
2 years,1
84.84,1
Yandal Öğrencisi,1
Computer and Computer Science Faculty,1
"3,42/ 4",1
"3,37 / 4",1
Information&Communication Technology,1
IYI,1
High School degree,1
computer Engineering,1
Bilgisayar Teknolojileri ve Programcılık,1
orta okul,1
"Bachelor’s Degree, 2.71",1
Bilgisayar Bilişim Bilimleri Fakültesi,1
100/75,1
Erasmus Öğrencisi,1
Lisans Derecesi (Bölüm Birincisi) ,1
Master Student,1
Endustri Meslek,1
Yüksek Lisans Öğrenci,1
Licance,1
Hıgh School,1
Summer Sessions,1
Abitur,1
Lisans Derecesi (terk) / Undergraduate (dropped),1
612,1
Master of Science - MS(without thesis),1
CJLC Certificate,1
"Turkish High School Diploma, German Abitur",1
Language: ,1
meslek yüksekokulu,1
Bilateral exchange program student,1
"Okul 4.lüğü ile mezun, %50 burslu öğrenci",1
Senior Class,1
Engineer's degree (Exchange Student),1
"Master of science, Internetworking",1
Short Term Project,1
Lisans Derecesi %25 Burslu,1
Bachelor of Science -BS (Graduated),1
Bachelor of Arts - BA ,1
Lisans / Undergraduate,1
Summer course,1
Ayon Kocatepe Üniversitesi,1
Exchange Student- Erasmus program,1
Business Administration Program (MBA),1
Bachelors degree ,1
studying,1
undergraduate ,1
IWE-EWE,1
Fen Fakültesi  Mezunu,1
Proficeincy in English,1
Lisans Derecesi Fakülte Birinciliği ,1
"French Bac. (s), Science",1
Under-grad,1
Foreign Language School ,1
Sophomore,1
Mühendislik Fakültesi Öğrencisi ,1
Non-Thesis Master's Degree,1
SENIOR,1
GCE A Levels ,1
GCE O Levels ,1
"High School Diploma,  97.42/100",1
Yüksek Lisans (Master) Tam Burslu,1
GPA: 85/100 (3.06/4),1
Baachelors Degree,1
4.9/5,1
97.61,1
Electronics and Telecommunications Engineering,1
Bachelor's Degree Student Exchange Program,1
4.40/5.0,1
Bachelor's Degree - Minor in Honors,1
MSC.,1
Normal Student,1
Erasmus Bachelor,1
Eyuboglu High School,1
"Bachelor, Academic Achievement Scholarship of Cankaya University",1
"BACHELOR, %100 Scholarship",1
Üniversite Lisans,1
Faculty of Naval Architecture and Marine Science,1
Thesis Phase,1
3.02 on 4.00,1
2.53/4,1
Equivalent to French Baccalaureate,1
Vocational University,1
"Exchange in Västerås,Sweden - Bachelor of Science - BS",1
Continuing Education Center,1
Anadolu Lisesi Sayısal Bölüm Mezunu,1
Erasmus+ Changing Programme,1
International Bachelor Programme (IB),1
French Baccalaureate,1
"High School, GCSE",1
Sistem Uzmanlığı,1
International Baccalaureate (IB),1
Bölüm 2.,1
fen edebiat bölümü,1
Mezunu,1
"4,6/5",1
3.85/4,1
3.40/4,1
School of Management,1
B.S. Microelectronics Engineering,1
Yatay Geçiş,1
Mühendislik ve Tasarım Fakültesi,1
Master of Science (MS) with Thesis,1
 High School Student,1
anadolu meslek,1
onur,1
"3,15 / 4",1
"Lisans Derecesi , 3.49",1
Computer Software Engineering,1
82 / 100,1
üniversite mezunu,1
86.30,1
98 / 100,1
3.47\4,1
3.47 \ 4.00,1
Busıness management,1
Kadınhanı Meslek Yüksek Okulu,1
Bachelor's Degree in Computer Engineering,1
Bachelor of Engineering - BEng,1
HAZIRLIK SINIFI (İNGİLİZCE),1
Responsive Web Design Certificate,1
"4,82/5.00",1
Yazılım Geliştirici,1
Fen Bilimleri Enstitüsü Elektronik ve Bilgisayar Eğitimi Yüksek Lisans,1
%10,1
doctorate,1
"3,09 / 4",1
başlangıç,1
Bilişim Bölümü,1
"92,6 / 100",1
Master of Science - M.S,1
"Fen fakültesi, Kimya",1
Teknoloji fakültesi ,1
bilgisayar,1
Bachelor S degree,1
Patika,1
Teaching with Technology,1
Online Eğitim,1
Webinar,1
TEF,1
The School of Applied Disciplines,1
"Master of Computer Applications (MCA), Information Systems, Informatics Institute",1
işletme fakültesi 4/3.4,1
"2,69/4,00",1
Master's degree (non-Thesis),1
Bilgisayar Teknolojisi,1
Bachelor of Business Administration - BA,1
Master of Science(MS),1
2.91/4,1
"4,29 / 5",1
"4,51 / 5",1
English Language,1
School of Foreign Languages ,1
Faculty of Fine Arts,1
Ms.C.,1
Bs.C,1
100% Burslu (Full Scholarship),1
Master's degree (with thesis),1
Eğitim Fakültesi ,1
Doctor of Arts,1
"High School Diploma, National Education",1
terk,1
Lisans ile Birleştirilmiş Tezsiz Yüksek Lisans,1
530,1
"Master of Business Administration, Master (MSc/MA)",1
Fen Edebiyat Fakultesi mezun,1
Computer and Education Technologist,1
işletme fakültesi mezun,1
Gazi Eğitim Fakültesi,1
..,1
857,1
MBA / Master of Arts in Economics,1
Mühendislik Fakültesi - Yüksek Lisans,1
Teknik Eğitim Fakültesi - Lisans,1
"76,15 / 100",1
"Higher Diploma, Science in Computing",1
Student Exchange Program,1
Basic,1
TOBB ETÜ Mühendislik Fakültesi,1
Diploma Programme,1
MASc,1
Master's degree / Yüksek Lisans,1
Bachelor's Degree Minor,1
International Welding Engineer,1
Master of Artificial Intelligence Engineering,1
"Lisans  3,14/4",1
Teknik Programlar Bölümü,1
Institute of science,1
4.69,1
3.36/4.00,1
4.Sınıf Öğrenci,1
 Graduated,1
İşletme ve Ekonomi Fakültesi,1
Upper,1
"2,90",1
Veritabanı Programcılıgı,1
English Language & Literature,1
pre-degree,1
2 yıllık,1
MCSD,1
Graduate Certificate Program,1
81.81.,1
Faculty Of Science and Literature ,1
Bilgisayar Yazılım,1
Bachelor's Degree - Erasmus+,1
700. yıl anadolu lisesi,1
49556,1
Uluslararası İlişkiler,1
2.78/4.00,1
"Bachelor's Degree, Faculty of Tech",1
96.20,1
mimarlık mühendislik fakültesi,1
"2,67/4",1
87.90,1
3.79/4.00,1
3.10/4.00,1
94.5/100,1
lisans ,1
comp,1
"4,3 / 5",1
Mekatronik Mezunu,1
"MSc, Advanced Computer Science and IT Management",1
Ranked 1st,1
2.16,1
 ön lisans,1
"4,33",1
"4,00/5,00",1
Computer Technology and Programming,1
Farabi Programı,1
kamu yönetimi,1
Mater's Degree,1
2.61/4.0,1
2.76/4.0,1
Kocaeli MYO,1
Railway System Technologies,1
Maltepe Anadolu Lisesi,1
3.54/4.00,1
Birincilikle,1
66,1
Bachelor’s,1
Öğretmen Lisesi Mezunu,1
Post-baccalaureate Certificate,1
Otomotiv Muhendisligi Anabilim Dali Yuksek Lisans,1
89.02,1
Teknik Egitim Fakultesi,1
Birincilik ile mezun oldum.,1
Meslek Yüksek Okullu,1
Kırıkkale Üniversitesi,1
85.61,1
Master's Without Thesis,1
Gıda Mühendisi,1
İşletme Fakültesi Öğrencisi,1
Dgs ile,1
2.91/4-Lisans Derecesi,1
"2,83",1
Bachelor’s Degree (with Honors),1
Environmental Engineer,1
Associate's degree (Önlisans),1
81.4/100,1
81.75/100,1
Electronics and Communications Engineering,1
Elektronik ve Haberleşme Mühendisliği Mezunu,1
82.92,1
Bachelor's degree (Lisans),1
Önlisans İÖ,1
Web Tasarım,1
3.7/5,1
74.09/100,1
Elektrik ve Elektronik Mühendisliği,1
"4,89/5,00",1
Computer Science Engineering,1
Upper-Intermediate(B2),1
Civil Engineer,1
Bölüm üçüncülüğü,1
"3,65",1
89.95,1
Business Informatics,1
Turkcell Digital Masters,1
Okul birinciliği,1
Master’s degree (Dipl.-Ing.),1
Faculty of Engineering and Natural Sciences (FENS),1
Mühendislik Faültesi,1
Çorlu Meslek Yüksek Okulu,1
3.04 - Onur Öğrencisi,1
"4,45",1
Bilgisayar Mühendisi - Matematikçi,1
Computer Engineering ,1
Programming,1
Artificial Intelligence (AI),1
Bilgisayar Programcisi,1
Erasmus Student Mobility,1
"2,78",1
83.25,1
"Mühendislik Fakültesi, Engineering",1
BA Boost Qualified Developer Training Program,1
.Net Certification Program,1
Google Scholarship Front-End-Developer,1
"2,68",1
Assistant,1
Department of business,1
SAYISAL,1
"78,65 / 100",1
"2,44 / 4",1
"2,85 / 4",1
Çalışma Ekonomisi ve Endüstri İlişkileri,1
 Middle School,1
"4,24",1
1. sınıf,1
Iskenderun/Hatay/Turkey,1
"3,54/4",1
4 üzerinden 3,1
Metalurji ve Malzeme Mühendisliği,1
Mekatronik Mühendisliği,1
Okul 2.liği ile mezuniyet,1
Upper Indermediate,1
Junior Cobol Developer,1
"Double Major, Bachelor's degree",1
Ortaöğretim ,1
Faculty of Engineering ,1
Iktisat,1
Advanced -C1,1
açık öğretim fakültesi,1
2.26/4.00,1
4.95/5.0,1
"Ön lisans 3,25/4",1
"BSc, Computer Engineering",1
"3,09/4",1
"3,69",1
Comp.Eng.,1
Professional Master of Business Administration -PMBA,1
"4,89 / 5",1
Master's of Business Administration,1
4.77,1
4.sınıf ,1
Technical Anatolian High School,1
Bilgisayar Muühendisi,1
Bechalor's,1
Music Education,1
Bachelor’s Degree in Computer Engineering,1
"4,77",1
MCP,1
5.,1
4.64 / 5.0,1
2.92 / 4.0,1
Vocational school degree,1
2.78/4,1
"4,67",1
2.75/4,1
"95,79/100",1
Intro to Programming Nanodegree,1
Bilgisayar mühendisliği mezunu,1
Toronto,1
Posgraduate,1
"High School Diploma, 92",1
Bachelor of Textile Engineering,1
Lisans Derecesi:2.54,1
University absolvent,1
94,1
UNDERGRADUATE,1
91.41,1
92 / 100,1
98 / 100 ,1
"Bachelor's degree, 3,54",1
 Undergraduate,1
Mucur Meslek YüksekOkulu,1
IT bootcamp,1
Institute of Graduate Programs (MSc),1
Doctorate (Ph.D),1
4.64/5.00,1
3.28-Honor Degree,1
Bölüm İkincisi,1
2. Sınıfın sonunda yatay geçişle bölüm değişikliği yapıldı. ,1
İktisadi İdari Bilimler Faklütesi,1
MID - High School,1
Master's degree - Obtained,1
Eğitim Bilimleri Fakültesi ,1
Master's Degree - Not Obtained,1
Bachelor's degree - Obtained,1
Ahmet Yesevi Üniversitesi,1
Bilgisayar Mühendisliği Bölüm ve Fakülte 1.liği,1
Bachelor in,1
Bachelor- Erasmus-Scholarship,1
Faculty Of Engineering and Computer Science,1
Top student in the department,1
Advanced Intermediate,1
Full scholarship student,1
B.Sc. Computer Engineer,1
D.V.M.,1
Elektrik,1
Certificate Course,1
Ankara MYO,1
Ilgın meslek yüksekokulu,1
Microsoft Office Excel Uzmanlık Belgesi,1
Distance Education Bachelor's Degree,1
"Master's degree, Electrical and Electronics Engineering, (3.76 / 4.0)",1
"3,72",1
"4,55",1
4.39/5,1
lisan,1
computer teaching,1
"3,..",1
Corresponce school,1
%75 eğitim bursu,1
Licanse,1
2.70 gano,1
yönetim bilişim sistemleri,1
Bachelor's Degree (72.3/100),1
Österreichisches Sankt Georgs-Kolleg Istanbul,1
Elmadağ MYO,1
Higer Education,1
Physical Sciences,1
M.s.,1
B.s.,1
"3.sınıf,Gano:3.36",1
Doctor of Philosophy (Ph.D.) - Dropped out of,1
M.Sc. with thesis,1
2. Üniversite,1
Çevre Mühendisi,1
BilgeAdam Akademi Boost Öğrencisi,1
exchange student,1
Mechanical Engineering (BSc) 2005,1
Yönetim Bilişim,1
The Faculty of Economic and Administrative Sciences,1
4/5.0,1
Teacher,1
"74,88, Fen Bilimleri Mezunu",1
125.Yıl Mezunu,1
"80,05",1
Electronic Technician,1
Biomedical Equipment Technologies Expert,1
Maths,1
elektrik-elektronik teknikeri,1
ege üniversitesi,1
Lisans Derecesi 3.3/4,1
Bachelor of Science (BS) (Burslu) (Double Major),1
post graduate,1
High general Secondary Education Certificate Examination - Tawjihi ,1
Bachelor of MIS,1
minor,1
language  Degree,1
Bachelor Thesis Best Project (1st Degree) (Graduation 3.23/4),1
"79,58",1
78.25,1
4 YILLIK,1
FEN FAKÜLTESİ KİMYA BÖLÜMÜ,1
Biyokimya Bölümü Mezunu,1
5th degree,1
Science/Maths,1
3.75 / 4.00,1
Bachelor of Science (BS) (Burslu),1
"2,22",1
Bachelor's degree (Major),1
Business administrator,1
Ege Üniversitesi,1
Ankara Üniversitesi Çankırı Meslek Yüksek Okulu,1
97,1
4.32,1
Bahelor of Sience (B.Sc.),1
Computer Applications,1
Master of IT Law,1
CANKIRI MESLEK YUKSEKOKULU,1
3.72/4,1
6th,1
elmadağ,1
3.25/4,1
4.6,1
Dil ve Tarih Coğrafya Fakültesi,1
85.08,1
Bachelor of Food Engineering (B.Eng.),1
Yüksek mühendis,1
Erasmus student,1
high honors,1
Erasmus Intern Student,1
Yüksek Lisans (Master) (Tezli),1
7.2,1
3.50 / 4.00 (1st Rank),1
Bilgisayar muhendisligi,1
"3,49 / 4,00",1
EDX - Online Micro Master,1
4.20 / 5,1
"Lisans Derecesi - 3,32 / 4",1
Master Degree with Thesis,1
2.0,1
Chemical Engineering Graduate Student,1
Bachelor's Degrees,1
Yüksekokul - 3.47 / 4,1
 Language Diploma,1
"Bachelor of Science - BS, Computer Engineering",1
Bachelor's degree (Student),1
"3,89",1
2/4,1
90.30 / 100.00,1
72.6,1
Bachelor's degree - Erasmus (6 months),1
Fransız Dili Edebiyatı ön lisans,1
3.63 / 4.00,1
4.78/5.00,1
Comp. Eng.,1
B.E,1
4.30/5,1
graduate master,1
Advenced Vocaitonal Studies High School,1
GNO: 3.06,1
Master Thesis,1
International course,1
Front End Development Certificate,1
Elektronik Bölümü Mezunu,1
Information Technologies and Software Teacher,1
Faculty of Science ,1
İzmir,1
Bachelor of Applied Science - BSc,1
Summer English Language School,1
LAL Summer English Language School,1
Atatürk Faculty of Education,1
ÖL,1
Teknik mevzunu,1
4th Rank of dept,1
"4 / 2,92",1
bölüm birincisi,1
kaynak mühendisi,1
Uygulamalı Bilimler Fakültesi,1
bölüm birinciliği,1
"4,42/5",1
Metal İşleri,1
Computer Engineering Student,1
Thirty degree,1
BS of Information Technology,1
Master of Science (M.Sc.) - DROPPED,1
Management and Organization,1
Yüksek Lisans (Master)(REMEDIAL),1
Mühendislik Fakültesi / Lisans,1
Math and Science,1
"89,7",1
Bachelor - 1st Rank of dept,1
100 / 69 (B),1
89.35(6),1
"4,3",1
myo,1
Quantitative Sciences,1
Lisans Derece,1
Bilişim Teknolojileri Bölümü Mezunu,1
Ekonometrist,1
"70,0",1
bachelor of Computer Engineering,1
"4,86",1
Veri Tabanı Yönetimi,1
 associate degree,1
bachelor degree 3.07,1
4 years education (not completed),1
Pınarhisar MYO,1
"3,06 / 400",1
Honor,1
4.92 (5),1
Bachelor of Education (BEd) (Erasmus Program),1
Mühendislik fakültesi Mezunu,1
"3,40/4,00",1
8.48,1
Language school,1
Doctor of Medical Informatics,1
Huğlu MYO,1
Ön Lisan,1
Garment Technology,1
3.12 / 4,1
Computer Technologies,1
B.Sc. Electric & Electronic Engineer,1
89.6 / 100,1
96.95/100,1
High-school graduate,1
Bachelor's Degree with High Honor,1
Derece Bachelor's degree,1
3.18 / 4,1
Computer Technologies And Programming,1
4.53,1
BA Economics,1
English Prep. School,1
Bilg. Bölümü Mezun,1
Certificate to Attendance,1
teknik eğitim,1
Bilgisayar Teknoloj. ve Prog.,1
Ontario College Diploma,1
Mühendislik Fakültesi Bilgisayar Mühendisliği,1
Bachelor's degreeElectrical and Electronics Engineering,1
"Lisans Derecesi, 3.45",1
2.93,1
83.5/100,1
Yükseklisans,1
3.14/4,1
"Mezun, İyi",1
Örgün,1
Non-degree,1
Bachelor of Education (B. Ed.),1
Bachelor of Engineering (B.Eng.) Honour Degree,1
Associate's degree (AS),1
"Software Engineer, İş analisti, Proje yöneticisi",1
"Exchange Student (Erasmus, Bachelor)",1
Science and Technology,1
B.S. ,1
Ankara Vocational School,1
2.12,1
Gazi Üniversitesi Fizik Yüksek Lisans Mezunu,1
Physics Engineering ,1
Bachelor`s Degree,1
"3,3",1
Self-Driving Car Engineer Nanodegree Program,1
Bechalor's Degree,1
"Master’s Degree, Dropout",1
Sosyal  Bilimler Mezunu,1
Graduate Ranking First In School,1
Samsun Meslek Yüksekokulu,1
Undergraduate degrees,1
Endüstriyel Sanatlar ve Eğitim Fakültesi,1
Uzem,1
Erasmus Mobility,1
ortaokul mezunu,1
Bachelor's degree in Computer Engineering,1
2.66/4,1
Independent Consultant Engineering (SMM - Serbest Mühendis Müşavir),1
Matbaa Öğretmenliği,1
İBBF,1
2. Class,1
Elektrik Elektronik Bölümü,1
IT institute,1
Professional Level,1
Arab Language,1
Lycée Anglais ,1
Binnaz Rıdvan Ege Anadolu Lisesi Mezunu,1
Master's degree student,1
4.25 / 5,1
"3,77",1
Lisans Derecesi 2.83/4,1
Sayısal Bilimler Mezunu,1
Master of Science in Informatics Institute   ,1
Electrical and Electronics Engineer,1
Master's degree Computer Science,1
Bachelor of Information Systems,1
Okuyor,1
UACE Certificate,1
IT,1
fen bilimler,1
First Degree (5.00),1
Tezsiz Yüksek Lisans (Master),1
güneysınır myo,1
Ağ ve Sistem Yönetimi/Yönetici,1
Ön lisans mezunu,1
MSCD,1
Kötü,1
Bilgisayar Teknikerliği mezunu,1
"4,91",1
Yüksek Lisans / Master's degree,1
"81,00",1
mühendislik mezunu,1
İnşaat Mühendisliği Bölümü,1
"75,2",1
Meslek Lisesi Bilgisayar Programcılığı,1
Endüstriyel Sanatlar Eğitim Fakültesi Mezunu,1
"85,57",1
2.54/4.0,1
VMBO,1
MBO,1
Bachelor's Degree; Bachelor's Degree,1
3.02/4.00 GPA,1
Food Engineer,1
Meslek Yuksek Okulu,1
technical college,1
bilgisayar programlama,1
"""Elektrik-Elektronik""",1
İşletme Fakultesi,1
Bachelor's dual degree,1
"3,44",1
BSc. Department of Electronic,1
"71,71",1
"3,81/4",1
"4,59",1
Mühendislik ve Doğa  Bilimleri Fakültesi,1
Boost Yazılımcı Yetiştirme Programı,1
"Bachelor of Science, Faculty of Engineering and Computer Sciences",1
stajyer,1
Advanced Master,1
Iktisadi idari bilimler,1
"Erasmus Year , 2.96/4 (German Grade System)",1
"Anadolu Lisesi mezunu 75,75 ortalama ile",1
BİLGİSAYAR,1
Mezuniyet,1
Hatırlamıyorum.,1
4.12/5,1
 İngilizce Hazırlık,1
"3,21 - Lisans Derecesi",1
Muğla MYO,1
Bachelor of Science - BASc,1
Muğla Üniversitesi,1
Fen Edebiyat Fak,1
"Lisans  3,45/4",1
Önlisans(Terk),1
Master's with Erasmus,1
JavaScript Web Projects: 20 Projects,1
2.14,1
The Faculty of Arts and Sciences,1
Anadolu Lisesi Mezunu(İngilizce),1
lis,1
Bilgisayar Mühendisliği Mezun,1
GPA:3.20,1
Private Izmit Ugur High School,1
Bilgisayar Bölümü/Web Tasarım Dalı,1
Lisans Eğitimine Devam Ediyor,1
Master's (with Thesis),1
"Sosyal Bilimler Enstitüsü, İşletme Anabilim Dalı, İşletme",1
Mühendislik ve Mimarlık Fakültesi Mezunu,1
Vocatinal School,1
Yandal Programı,1
2nd Degree in Bahçeşehir Üniversitesi Engineering Faculty,1
Web Programming,1
High School Diploma - Math & Science,1
Middle School - 91/100 - Graduated as #1 Graded Student.,1
Diploma in Computer Technologies and Programming,1
"2,94",1
CC,1
Bilgisayar Öğretim Teknolojileri Eğitmenliği,1
3.50/4.00,1
English Preparatory Year,1
3.63/4,1
High-School,1
C1 Efficacia,1
Sistem ve Network Uzmanlığı,1
Bilgisayar Programlama ve Teknolojileri ,1
Bahcesehir University,1
3.class,1
C1 Certificate,1
Senior ,1
İktisat Fakültesi Öğrencisi,1
3.62/4,1
Fen Edebiyat Fakültesi - Matematik Bilgisayar Bölümü,1
BENG in Computer Engineering,1
2.49/4,1
Qualifizierter Stuffe,1
91.5,1
"4,53/5.00",1
3.93 / 4.00,1
3.25 / 4.00,1
Fen-Edebiyat,1
Enginnering,1
Electrical & Electronics Enginner,1
Yüksek Lisans - Tezsiz -,1
Fen ve Edebiyat Fakültesi,1
82.16,1
"Bachelor's degree, High honor, Ranked 2nd",1
Mechanical Engineering (License),1
MÜHENDİSLİK-MİMARLIK FAKÜLTESİ,1
2.65/4,1
French baccalaureat,1
Senior Specialist,1
Bilgisayar Mühendisliği (CE),1
Piscine,1
Okula 1.likle girdim,1
3.30 Lisans Derecesi,1
"3.93, Önlisans",1
28,1
3.78/4.00,1
Fen Edebiyat Fakültesi Matematik Bilgisayar Bölümü,1
Lisans Derecesi(4.),1
"2,3",1
Sertifikalı Eğitim,1
1. Bitirme,1
4.81/5.00,1
87.88 / 100,1
2.87/4,1
Graduated with a first degree,1
2011-Okul Birinciliği,1
Okul Birinciliği ,1
Adalet Bölümü,1
İŞLETME FAKULTESİ,1
2.42 / 4.00,1
Bilgisayar Teknoloji ve Programcılığı,1
fen-edebiyat fakültesi,1
Metalurji ve Malzeme Mühendisi,1
2002 Mezun,1
97/100,1
91.95,1
Bachelor  Degree,1
Master of Science (M.Sc.) Biology,1
i finished second grade in university,1
"Master's degree, Computer Engineer",1
İlköğretim-Ortaöğretim,1
Çift Anadal - Mühendislik ve Doğa Bilimleri Fakültesi,1
English Language Prep School,1
Front End Web Development Bootcamp,1
International Baccalaureate Diploma Programme,1
University - Bachelor,1
High School Diploma ( First two years ),1
Bachelor of  Science (B.A.Sc.),1
F.Sc,1
UG,1
Uygulumalı Teknoloji ve İşletmecilik Yüksek Okulu,1
Ontario Secondary School Diploma,1
Engineering High School Diploma,1
Bachelor's degree Full Scholarship,1
iletişim fakültesi öğrencisi,1
Primary & Secondary School,1
Bachelors degree,1
ESL,1
Senior Degree,1
ATPL (A),1
Bachelor's degree (English),1
Bachelors Degree,1
Normal ,1
Lisans öğrencisi,1
Highschool Graduation,1
Exchange Student Bachelor's degree,1
"GPA: 3,01",1
Junior High & High School,1
Bachelor of Science (Exchange Student),1
Left the lab tubes behind for computer love,1
Undergraduate transfer to METU,1
Minor Program for Philosophy,1
Virtual Reality and Exercise Gaming Course,1
high-school graduate,1
Master of Science and Engineering,1
"Masters, PhD",1
Bachelor of Bussines Administration,1
3.62,1
School of Applied Technology and Management,1
Associate of Arts (A.A.),1
Candidate in Philosophy (C.Phil),1
Flight Test Engineering Diploma Course,1
High Honor,1
Okul ikincisi,1
International Baccalaureate (IB) Programme,1
Erasmus / Bachelor's degree,1
Middle and High School,1
IB Grade: 38/45,1
Electrical and Electronics Engineering bachelor degree,1
3.55 Bachelor's degree,1
Erasmus/Exchange (EU Scholarship),1
72/80,1
Matura,1
Third Degree of School,1
Mühendislik ve Doğa Bilimleri Fakültesi Mezunu,1
Lisans; Ön lisans,1
Erasmus+ programme,1
High School Graduation.,1
ortaöğretim,1
Undergraduate minor program,1
"Erasmus Exchange, Fall Semester",1
Yan dal,1
2.33,1
Bahçeşehir üniversitesi,1
imkb anadolu teknik lisesi,1
"2,39",1
Premaster Course of Management and Finance,1
3.23/4,1
Master’s Degree with thesis,1
Bachelor's or Master s Degree,1
Mühendisilik fakültesi,1
Hazırlık Sınıfı,1
"Lisans, İktisadi ve idari bilimler fakültesi",1
"3,66/4",1
Bilgisayar Mühendisi ,1
Honour 3.14,1
High Honour 3.57,1
Master of Science - MSc with Thesis,1
Online course,1
"65, 4",1
Bachelor of Fine Arts (BFA),1
Web Ve  Veri Tabanındaki Eğitimlerde Üstün Başarı,1
Yandal (lisans),1
Hazırlık Bölümü (İngilizce),1
Uzmanlık,1
Bachelor of Computer sciences,1
Master of Big Data Analysis And Management,1
Fransızca Eğitim,1
Lisans(terk),1
Meslek Yüksek Okulu Ögrencisi,1
Maçka Akif Tunçel Anadolu Meslek Lisesi Mezunu,1
Genel Ortalama 3.43,1
Bilgisayar Mühendisliği(Burslu),1
TEKNİK PROGRAMLAR,1
2.46/4,1
2.64/4.00,1
Vocational school,1
3.61/4.00,1
3.32 GPA (in %5),1
Vocational School - Two year degree,1
80% Success Scholarship,1
A2 Level,1
Anatolian High School Diploma,1
Summer Student Programme,1
Üçüncü Sınıf,1
"7,2",1
"4,37",1
Sosyal Bilimler Meslek Yüksek Okulu,1
"4,14 / 5",1
"3,68",1
Diplom,1
AUZEF,1
Computer ,1
لم أتخرج,1
3.57,1
İşletme İktisadı Enstitüsü,1
Lisans Derecesi - Bachelor Degree,1
Önlisans Bankacılık ve Sigortacılık,1
"Bilişim Uzmanlığı , AA",1
Istanbul Alman Lisesi,1
2. Sınıfta askerlik görevim için ayrıldım.,1
SBMYO,1
